City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,qaqortoq,60.7167,-46.0333,276.01,42,0,2.49,GL,1714753196
312,karratha,-20.7377,116.8463,297.31,49,0,1.68,AU,1714753196
313,puerto lleras,3.0223,-73.4044,304.65,62,100,1.0,CO,1714753196
314,bamboo flat,11.7,92.7167,302.2,79,20,0.51,IN,1714753196
315,northam,51.0333,-4.2167,285.74,79,100,5.32,GB,1714753196
316,san rafael del yuma,18.4299,-68.6739,303.26,50,37,2.28,DO,1714753196
317,cabedelo,-6.9811,-34.8339,304.52,71,69,6.23,BR,1714753196
318,nadym,65.5333,72.5167,262.57,90,100,2.3,RU,1714752991
319,berdigestyakh,62.0989,126.6992,273.61,99,100,1.98,RU,1714752991
320,kill devil hills,36.0307,-75.676,302.15,74,0,4.12,US,1714753197
321,orumiyeh,37.5527,45.0761,286.9,67,75,5.14,IR,1714753197
322,martapura,-3.4167,114.85,300.2,89,100,2.06,ID,1714752991
323,nar'yan-mar,67.6713,53.087,267.1,92,90,2.24,RU,1714752991
324,taoudenni,22.6783,-3.9836,312.09,4,0,2.29,ML,1714753197
325,puerto armuelles,8.2833,-82.8667,302.02,72,33,0.45,PA,1714752992
326,argo,37.6333,22.7333,293.9,35,1,5.61,GR,1714752992
327,port alfred,-33.5906,26.891,296.03,68,0,4.6,ZA,1714753197
328,taksimo,56.3444,114.8794,273.98,70,100,1.03,RU,1714753197
329,manaure,11.7751,-72.4445,302.34,73,100,4.8,CO,1714753197
330,aljezur,37.3191,-8.8033,290.0,56,73,4.45,PT,1714752992
331,nova sintra,14.8667,-24.7167,296.33,82,0,11.98,CV,1714752992
332,fortuna,40.5982,-124.1573,287.0,90,75,3.09,US,1714752992
333,mumford,5.2618,-0.759,303.14,73,43,5.3,GH,1714752992
334,ferkessedougou,9.6,-5.2,311.37,28,93,3.12,CI,1714753197
335,insar,53.8653,44.3738,276.05,49,58,3.86,RU,1714752992
336,kapit,2.0167,112.9333,297.07,99,100,0.64,MY,1714753197
337,datong,40.0936,113.2914,289.04,31,94,2.55,CN,1714753121
338,alcantara,-2.4089,-44.4147,306.26,64,99,3.32,BR,1714753197
339,taroa,8.7058,171.2275,300.77,82,100,8.0,MH,1714753197
340,el bauga,18.262,33.9081,308.62,11,0,4.4,SD,1714753118
341,temozon,20.8,-88.2167,304.2,38,94,2.91,MX,1714753197
342,al ghayzah,16.2079,52.176,302.75,73,52,5.94,YE,1714752992
343,pariaman,-0.619,100.12,299.18,90,100,1.66,ID,1714753198
344,nemuro,43.3236,145.575,277.03,81,81,7.1,JP,1714753198
345,petropavlovka,50.6114,105.3196,278.54,85,0,0.69,RU,1714752992
346,crucecita,-28.95,-58.9833,287.44,79,100,4.91,AR,1714753198
347,balqash,46.8481,74.995,289.58,47,100,1.89,KZ,1714752993
348,mata-utu,-13.2816,-176.1745,302.05,78,100,4.56,WF,1714753198
349,yuxia,34.0615,108.6291,284.49,97,100,0.66,CN,1714753198
350,machakos,-1.5167,37.2667,295.12,91,99,1.8,KE,1714752993
351,la troncal,-2.4,-79.3333,297.99,97,100,0.73,EC,1714753198
352,turpan,42.9333,89.1667,298.88,12,97,2.26,CN,1714752993
353,shetpe,44.1667,52.1167,291.27,41,100,3.63,KZ,1714753198
354,soio,-6.1349,12.3689,300.93,82,100,4.31,AO,1714753198
355,kendari,-3.945,122.4989,297.24,98,100,1.23,ID,1714753198
356,port pirie,-33.1833,138.0167,285.52,50,0,1.34,AU,1714753198
357,bayanhongor,46.7167,100.1167,277.95,26,1,1.1,MN,1714753198
358,sosnovyy bor,59.9,29.1167,285.13,75,100,3.44,RU,1714753198
359,tual,-5.6667,132.75,301.5,78,99,3.91,ID,1714752993
360,marica,-22.9194,-42.8186,309.53,73,0,6.17,BR,1714752993
361,muynoq,43.7683,59.0214,291.19,53,34,5.96,UZ,1714752993
362,magistral'nyy,56.1725,107.4458,278.91,62,63,1.76,RU,1714753198
363,santa ana,33.7456,-117.8678,291.0,83,100,2.06,US,1714752957
