City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
232,lesosibirsk,58.2358,92.4828,48.9,91,100,2.28,RU,1714919083
233,santa terezinha,-29.9002,-50.0904,72.39,89,52,11.63,BR,1714919083
234,islamorada,24.9243,-80.6278,82.4,85,18,19.6,US,1714918959
235,taoudenni,22.6783,-3.9836,105.06,3,0,9.46,ML,1714919083
236,kaihua,23.3687,104.28,66.31,81,83,7.54,CN,1714919083
237,katsuura,35.1333,140.3,67.06,79,66,18.57,JP,1714919083
238,pingzhuang,42.0372,119.2889,59.23,38,100,14.7,CN,1714919083
239,bien unido,10.1373,124.3776,86.02,77,22,9.44,PH,1714919083
240,al burayqah,30.4062,19.5739,67.89,59,0,14.9,LY,1714919083
241,la passe,45.5549,-0.8967,68.23,88,100,15.37,FR,1714919083
242,undurkhaan,47.3194,110.6556,57.83,24,78,4.14,MN,1714919083
243,boone,39.0334,-92.3335,57.67,76,100,1.99,US,1714919083
244,naze,28.3667,129.4833,72.52,89,100,15.52,JP,1714919083
245,chonchi,-42.6128,-73.8092,40.12,85,100,3.94,CL,1714919084
246,rikaze,29.25,88.8833,44.87,59,100,7.43,CN,1714919084
247,francisco i. madero,29.7059,-107.8043,51.73,29,0,6.8,MX,1714919084
248,georgetown,5.4112,100.3354,87.73,74,40,9.22,MY,1714918955
249,saint-junien,45.8833,0.9,66.78,97,100,9.53,FR,1714919084
250,goure,13.9835,10.2704,108.88,8,3,16.96,NE,1714919084
251,gao,16.6362,1.637,111.43,8,24,9.44,ML,1714919084
252,alice springs,-23.7,133.8833,45.95,66,55,0.0,AU,1714919084
253,puerto madryn,-42.7692,-65.0385,50.47,37,0,18.48,AR,1714919084
254,meadow lakes,61.6247,-149.6011,41.2,87,40,4.61,US,1714919084
255,hilo,19.7297,-155.09,69.24,98,100,10.36,US,1714919084
256,mudgee,-32.5943,149.5871,55.62,88,26,7.02,AU,1714919084
257,scottburgh,-30.2867,30.7532,74.26,78,7,6.69,ZA,1714919084
258,bani walid,31.7566,13.9942,83.03,12,1,9.22,LY,1714919085
259,pisco,-13.7,-76.2167,68.05,88,100,0.0,PE,1714919046
260,inhambane,-23.865,35.3833,80.58,54,0,6.91,MZ,1714919085
261,port blair,11.6667,92.75,86.04,74,20,2.3,IN,1714918876
262,kwali,8.8672,7.005,98.49,40,52,3.8,NG,1714919085
263,ilulissat,69.2167,-51.1,21.22,73,75,5.75,GL,1714919085
264,kodinsk,58.6881,99.1844,51.44,82,100,6.31,RU,1714919085
265,vorgashor,67.5833,63.95,20.8,83,99,6.35,RU,1714918867
266,sitka,57.0531,-135.33,46.29,87,100,14.97,US,1714919085
267,saint-benoit,-21.038,55.7194,75.31,70,21,15.05,RE,1714919085
268,kungur,57.4368,56.9593,41.2,48,100,7.16,RU,1714918982
269,huazhou,21.6333,110.5833,78.24,93,0,7.56,CN,1714919085
270,antsiranana,-12.2787,49.2917,81.36,61,20,20.71,MG,1714919085
271,mogocha,53.7333,119.7667,45.3,48,100,2.44,RU,1714919085
272,moama,-36.1167,144.7833,50.41,83,0,7.99,AU,1714919085
273,sinop,41.7711,34.8709,46.62,64,29,8.72,TR,1714919085
274,shingu,33.7333,135.9833,59.04,93,54,2.8,JP,1714919085
275,weinberg,51.4667,14.1667,63.86,72,100,9.15,DE,1714919086
276,sertaozinho,-21.1378,-47.9903,84.31,30,3,5.73,BR,1714919086
277,sao vicente,-23.9631,-46.3919,95.27,57,20,4.61,BR,1714919086
278,shinas,24.7433,56.4658,91.65,48,0,7.72,OM,1714919086
279,manay,7.215,126.5397,77.4,81,98,6.58,PH,1714919086
280,buka,40.8108,69.1986,69.17,59,72,5.57,UZ,1714919086
281,remire-montjoly,4.9167,-52.2667,82.44,89,100,11.5,GF,1714918995
282,maintirano,-18.0667,44.0167,82.29,71,3,9.62,MG,1714919086
283,howard springs,-12.497,131.047,80.51,91,100,4.5,AU,1714919086
284,kerikeri,-35.2268,173.9474,57.9,91,85,3.38,NZ,1714919086
285,new norfolk,-42.7826,147.0587,51.3,92,30,2.13,AU,1714919086
286,saint-philippe,-21.3585,55.7679,74.79,69,36,11.88,RE,1714919086
287,archangelos,36.2149,28.1149,72.3,38,1,15.93,GR,1714919086
288,afaahiti,-17.75,-149.2833,75.07,81,57,18.72,PF,1714919086
289,menongue,-14.6585,17.691,84.43,18,0,3.62,AO,1714919086
290,island harbour,50.724,-1.2758,58.73,81,100,8.01,GB,1714919086
291,kachug,53.9606,105.8817,59.05,53,89,3.0,RU,1714919086
292,baberu,25.55,80.7167,102.54,11,100,8.03,IN,1714919087
293,hasaki,35.7333,140.8333,64.8,75,100,22.06,JP,1714919087
294,sandnessjoen,66.0217,12.6316,57.31,30,0,10.36,NO,1714919087
295,weno,7.4515,151.8468,82.35,83,100,10.36,FM,1714919087
296,akureyri,65.6835,-18.0878,48.13,66,20,8.05,IS,1714919087
297,askoy,60.4092,5.226,61.95,82,75,8.05,NO,1714919087
298,mahina,-17.5065,-149.489,76.77,83,20,3.44,PF,1714919087
299,port lincoln,-34.7333,135.8667,58.84,75,0,13.29,AU,1714919087
300,kabwe,-14.4469,28.4464,81.88,34,6,6.55,ZM,1714919087
301,mollendo,-17.0231,-72.0147,69.08,79,37,9.1,PE,1714919087
302,birmitrapur,22.4,84.7667,93.34,11,78,5.53,IN,1714919087
303,bubaque,11.2833,-15.8333,79.72,69,6,9.22,GW,1714919087
304,salalah,17.0151,54.0924,87.89,70,40,8.05,OM,1714919087
305,khorugh,37.4897,71.553,44.94,52,1,5.46,TJ,1714919087
306,tura,25.5198,90.2201,73.54,81,33,7.49,IN,1714919087
307,vorkuta,67.5,64.0,21.11,83,100,5.01,RU,1714919088
308,smara,26.7384,-11.6719,91.18,13,2,12.39,EH,1714919088
309,stafford,52.8052,-2.1164,67.73,46,94,6.62,GB,1714919088
310,xining,36.6167,101.7667,60.06,25,100,10.69,CN,1714919080
311,kapuskasing,49.4169,-82.4331,50.0,87,100,14.97,CA,1714919042
312,omdurman,15.6445,32.4777,102.47,3,2,8.21,SD,1714919088
313,crane,31.3974,-102.3501,62.94,84,89,9.42,US,1714919088
314,arkalyk,50.2486,66.9114,48.33,35,9,12.01,KZ,1714919088
315,ksar el boukhari,35.8889,2.7491,86.13,15,31,4.52,DZ,1714919088
316,tsiombe,-25.3,45.4833,75.11,56,0,8.46,MG,1714919088
317,margate,51.3813,1.3862,60.87,69,100,5.99,GB,1714919246
318,papao,-17.75,-149.55,76.68,79,23,20.0,PF,1714919088
319,cavalaire-sur-mer,43.174,6.5272,75.74,60,14,6.89,FR,1714919088
320,harstad,68.799,16.5293,42.19,76,9,21.99,NO,1714919088
321,gadzhiyevo,69.2551,33.3362,32.59,69,100,18.45,RU,1714919089
322,aguilas,37.4063,-1.5829,73.08,53,100,7.81,ES,1714919089
323,kish,26.5578,54.0194,84.47,65,0,13.8,IR,1714919089
324,guerrero negro,27.9769,-114.0611,60.42,76,100,17.34,MX,1714918885
325,zapolyarnyy,69.4154,30.8136,31.28,92,100,13.85,RU,1714919089
326,bohuslav,49.5494,30.8744,65.59,56,30,13.51,UA,1714919089
327,aral,40.5156,81.2636,79.63,11,9,7.38,CN,1714919089
328,peruibe,-24.32,-46.9983,84.16,56,3,4.94,BR,1714919089
329,nkongsamba,4.9547,9.9404,79.86,78,100,0.81,CM,1714919089
330,mugia,43.1041,-9.2179,57.9,69,5,9.33,ES,1714919089
331,el granada,37.5027,-122.4694,50.34,86,0,12.66,US,1714919089
332,yunyang,33.4474,112.7142,62.85,80,0,4.5,CN,1714919089
333,kingscliff,-28.2667,153.5667,64.94,100,100,4.61,AU,1714919089
334,okhotsk,59.3833,143.3,32.47,89,100,6.55,RU,1714919089
335,ouesso,1.6136,16.0517,92.28,44,65,0.54,CG,1714919089
336,dunedin,-45.8742,170.5036,42.8,98,66,4.43,NZ,1714919089
337,fort mcmurray,56.7268,-111.381,44.19,65,0,6.91,CA,1714919089
338,kidal,18.4411,1.4078,106.23,11,100,5.46,ML,1714919090
339,mangai,-4.05,19.5333,96.01,30,5,3.87,CD,1714919090
340,penalva,-3.2942,-45.1736,87.67,63,100,4.83,BR,1714919090
341,st. john's,47.5649,-52.7093,37.27,85,100,13.0,CA,1714918832
342,opuwo,-18.0607,13.84,87.94,18,0,10.92,NA,1714919090
343,dalbandin,28.8947,64.4101,85.8,26,79,15.05,PK,1714919090
344,turkmenbasy,40.0222,52.9552,70.57,49,0,9.22,TM,1714919090
345,nuuk,64.1835,-51.7216,23.61,63,20,17.27,GL,1714919090
346,dili,-8.5586,125.5736,81.21,77,100,4.09,TL,1714919035
347,cam ranh,11.9214,109.1591,85.96,74,20,4.61,VN,1714919090
348,belmonte,-15.8631,-38.8828,80.76,85,17,10.87,BR,1714919090
349,semey,50.4111,80.2275,68.22,42,75,22.37,KZ,1714919090
350,westport,41.1415,-73.3579,51.82,87,100,12.66,US,1714919046
351,dumas,35.8656,-101.9732,53.74,94,100,8.05,US,1714919090
352,yanbu,24.0891,38.0637,95.04,28,0,23.02,SA,1714919090
353,tamanrasset,22.785,5.5228,91.31,14,40,5.75,DZ,1714919090
354,visakhapatnam,17.69,83.2093,87.69,89,40,13.8,IN,1714919090
355,the pas,53.8251,-101.2541,48.22,66,0,9.22,CA,1714919090
356,sao joao da barra,-21.6403,-41.0511,87.89,82,8,8.3,BR,1714919090
357,cole harbour,44.6724,-63.4751,51.19,74,75,12.66,CA,1714919090
358,guiuan,11.0333,125.7247,84.36,76,97,11.45,PH,1714919091
359,titao,13.7667,-2.0667,108.57,15,27,2.98,BF,1714919091
360,kencong,-8.2833,113.3667,75.29,85,41,1.72,ID,1714919091
361,arkhangel'sk,64.5401,40.5433,33.91,64,75,4.47,RU,1714919061
362,shenjiamen,29.9576,122.298,62.38,95,6,5.59,CN,1714919091
363,port alfred,-33.5906,26.891,69.19,77,5,4.0,ZA,1714919091
364,saipan,15.1355,145.701,81.3,78,40,10.36,MP,1714918950
